Accountable Organization,Accountable Sub Organization,Installation Code,Installation Name,Site UID,Legacy Site Code,Site Name,RPA UID,Facility Number,Operational Status Code,Operational Status Name,RPA Type Code,RPA Type Desc,RPA Interest Type Code,RPA Interest Type Desc,RPA Predominant Design Use Catcode,RPA Predominant Design Use Catcode Desc,Design Use Catcode,Design Use Catcode Desc,Design Use Fac Code,Design Use Fac Code Name,Asset Configuration Primary UM Qty,Asset Configuration Primary UM Code,Asset Configuration Secondary UM Qty,,Category
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966917,306,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",83140,INDUSTRIAL WASTE WATER TREATMENT PLANT,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966918,329,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89141,"WATER SUPPLY/TREATMENT BUILDING, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966919,145,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89141,"WATER SUPPLY/TREATMENT BUILDING, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966920,240,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44110,"STORAGE BUILDING, GENERAL PURPOSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966921,286,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44110,"STORAGE BUILDING, GENERAL PURPOSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966922,308,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44130,"CONTROLLED HUMIDITY WAREHOUSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966923,330,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44220,"STORAGE BUILDING, GENERAL PURPOSE, INSTALLATION",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967130,386,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44110,"STORAGE BUILDING, GENERAL PURPOSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967131,404,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44110,"STORAGE BUILDING, GENERAL PURPOSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967132,408,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44130,"CONTROLLED HUMIDITY WAREHOUSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967133,550,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",74055,EXCHANGE WAREHOUSE,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967135,42,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",61050,"ADMINISTRATION BUILDING, GENERAL PURPOSE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967137,71,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",69010,FLAGPOLE,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967138,74,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",83150,SEWAGE LIFT STATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967139,170,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",21879,PROCURED ITEM/EQUIPMENT MAINTENANCE FACILITY,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967142,273,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",14970,LOADING/UNLOADING DOCKS AND RAMPS,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967144,370,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12630,TANK TRUCK LOAD/UNLOAD FACILITY,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967145,374,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12450,"LAND VEHICLE FUEL STORAGE TANK, MOGAS, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967146,375,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12480,"LAND VEHICLE FUEL STORAGE, DIESEL/JP8, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967147,389,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",14970,LOADING/UNLOADING DOCKS AND RAMPS,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967148,412,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",44181,"VEHICLE STORAGE FACILITY, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967149,442,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89120,PLANT/UTILITIES BUILDING,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967150,443,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",81360,TRANSFORMERS,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967151,482,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44160,"RADIOACTIVE STORAGE WAREHOUSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967152,483,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44150,"FLAMMABLE MATERIAL STOREHOUSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967153,484,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44150,"FLAMMABLE MATERIAL STOREHOUSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967154,485,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44220,"STORAGE BUILDING, GENERAL PURPOSE, INSTALLATION",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967188,488,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",11370,"AIRCRAFT WASHING APRON, PAVED",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967189,489,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",74060,BREAK/LUNCH ROOM,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967190,573,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",14970,LOADING/UNLOADING DOCKS AND RAMPS,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967191,605,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44240,"FLAMMABLE MATERIAL STOREHOUSE, INSTALLATION",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967192,607,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",21910,ENGINEERING/HOUSING MAINTENANCE SHOP,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,967193,649,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",14140,CARE AND PRESERVATION SHOP,,,,,,,,,
